"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS23830",231,156,184,166,158,229
"PA14_RS23835",143,82,102,113,123,147
"PA14_RS23840",170,102,107,141,109,160
"PA14_RS23845",220,132,170,203,212,249
"PA14_RS23850",121,73,109,92,94,104
"PA14_RS23855",78,41,46,112,124,140
"PA14_RS23860",256,223,237,293,345,294
"PA14_RS23865",253,198,221,238,307,276
"PA14_RS23870",1070,812,1013,693,827,871
"PA14_RS23875",972,674,1079,1485,1686,1384
"PA14_RS23880",197,141,180,181,200,259
"PA14_RS23885",367,247,290,73,94,94
"PA14_RS23890",56,30,59,74,103,95
"PA14_RS23895",152,100,123,77,123,142
"PA14_RS23900",474,401,694,1065,2480,1390
"PA14_RS23905",109,97,115,129,186,153
"PA14_RS23910",1687,1614,2014,1034,1126,952
"PA14_RS23915",3320,2401,2484,937,1126,1130
"PA14_RS23920",447,428,474,393,494,509
"PA14_RS23925",291,236,306,287,352,369
"PA14_RS23930",4534,3560,4586,2481,2920,3852
"PA14_RS23935",751,569,925,526,639,651
"PA14_RS23945",4,2,5,5,5,8
"PA14_RS30890",141,99,271,20,21,31
"PA14_RS23955",670,451,790,432,560,652
"PA14_RS23960",5,8,11,17,11,15
"PA14_RS23965",764,574,713,189,255,259
"PA14_RS23970",709,555,775,495,552,630
"PA14_RS23975",286,210,291,216,232,311
"PA14_RS23980",271,185,218,272,286,364
"PA14_RS23985",422,412,443,327,475,485
"PA14_RS23990",224,195,253,196,241,274
"PA14_RS23995",469,356,413,411,577,578
"PA14_RS24000",778,492,519,498,561,690
"PA14_RS24005",369,270,339,257,276,344
"PA14_RS24010",388,345,344,361,442,475
"PA14_RS24015",1138,926,1141,1270,1555,1488
"PA14_RS24020",582,445,501,584,749,800
"PA14_RS24025",99,66,108,57,56,70
"PA14_RS24030",1387,974,1135,550,615,640
"PA14_RS24035",1,1,4,0,5,2
"PA14_RS24040",14,11,5,1,7,4
"PA14_RS24045",1,1,3,0,1,2
"PA14_RS31460",0,0,0,0,0,0
"PA14_RS24050",3,1,1,0,5,2
"PA14_RS24055",1,0,5,3,3,6
"PA14_RS24060",8,2,6,1,1,1
"PA14_RS24065",3,0,2,0,1,0
"PA14_RS24070",8,3,18,5,10,6
"PA14_RS24075",0,0,0,3,1,2
"PA14_RS24080",0,2,7,7,5,3
"PA14_RS24085",0,0,0,1,0,0
"PA14_RS31295",1,2,1,2,0,3
"PA14_RS24095",2,1,0,0,0,0
"PA14_RS24100",691,707,848,401,465,496
"PA14_RS24105",1,0,1,0,3,0
"PA14_RS24110",7,5,14,9,16,11
"PA14_RS24115",11,1,5,5,3,3
"PA14_RS24120",8,16,15,10,19,16
"PA14_RS24125",0,2,3,1,1,3
"PA14_RS24130",1,2,3,1,1,4
"PA14_RS24135",1,1,3,4,6,2
"PA14_RS24140",0,1,4,3,4,4
"PA14_RS24145",1,1,0,1,0,3
"PA14_RS30905",0,0,3,0,1,1
"PA14_RS24155",5,4,5,7,11,7
"PA14_RS30910",3,6,0,1,3,2
"PA14_RS24160",27,73,90,38,46,73
"PA14_RS24165",2,2,4,3,6,2
"PA14_RS31795",8,6,4,5,1,12
"PA14_RS31800",1,3,2,0,3,2
"PA14_RS24180",10,12,31,24,21,13
"PA14_RS24185",9,9,19,8,15,16
"PA14_RS24190",5,5,5,14,11,11
"PA14_RS24195",2,5,11,9,8,6
"PA14_RS24200",4,2,9,18,13,19
"PA14_RS24205",11,0,21,7,9,8
"PA14_RS24210",108,297,332,230,203,227
"PA14_RS24215",2,3,8,3,2,4
"PA14_RS24220",13,21,15,20,17,32
"PA14_RS24225",1,2,11,7,6,6
"PA14_RS24230",11,10,9,10,8,11
"PA14_RS31465",0,0,1,0,0,0
"PA14_RS31680",19,114,135,41,72,67
"PA14_RS24235",8,8,11,5,5,11
"PA14_RS31470",0,0,1,2,0,3
"PA14_RS24240",2,1,6,3,2,0
"PA14_RS24245",1,2,3,2,4,7
"PA14_RS24250",10,47,72,21,34,38
"PA14_RS24255",1,7,5,4,7,3
"PA14_RS24260",0,2,0,0,1,1
"PA14_RS24265",5,7,6,5,10,8
"PA14_RS24270",91,49,78,1,0,0
"PA14_RS24275",11,21,19,3,1,4
"PA14_RS24280",97,60,116,11,9,12
"PA14_RS24285",790,498,672,9,5,8
"PA14_RS30930",12,8,16,11,12,12
"PA14_RS30935",0,2,4,0,0,2
"PA14_RS24290",0,2,1,0,2,0
"PA14_RS24295",12,34,43,7,6,32
"PA14_RS30940",2,1,3,4,5,3
"PA14_RS30945",4,3,2,7,7,4
"PA14_RS24300",7,40,38,43,17,35
"PA14_RS24305",2,1,5,2,14,4
"PA14_RS30950",2,5,16,4,7,9
"PA14_RS24315",1,4,4,2,4,4
"PA14_RS24320",2,3,3,2,1,1
"PA14_RS24325",1,4,4,3,0,2
"PA14_RS24330",2,2,10,5,6,5
"PA14_RS24335",2,1,1,0,3,2
"PA14_RS24340",13,14,10,7,5,8
"PA14_RS24345",2,4,3,7,3,10
"PA14_RS24350",1,0,0,2,3,3
"PA14_RS24355",5,7,2,1,2,1
"PA14_RS24360",2,1,1,3,6,3
"PA14_RS24365",22,23,40,15,13,19
"PA14_RS24370",0,3,7,4,1,2
"PA14_RS24375",7,1,4,13,13,7
"PA14_RS24380",2,2,5,1,2,4
"PA14_RS24385",59,153,170,106,93,90
"PA14_RS24390",7,5,1,1,12,12
"PA14_RS24395",4,7,19,23,24,14
"PA14_RS24400",2,4,3,7,3,9
"PA14_RS24405",2,4,14,5,6,8
"PA14_RS31475",4,8,15,5,6,9
"PA14_RS30955",1,0,1,5,9,9
"PA14_RS24415",0,1,5,0,1,2
"PA14_RS24420",1,1,5,2,2,0
"PA14_RS24425",0,0,3,3,1,0
"PA14_RS24430",2,1,3,4,2,2
"PA14_RS24435",0,0,3,1,2,2
"PA14_RS24440",4,12,40,5,11,27
"PA14_RS24445",0,2,5,4,5,6
"PA14_RS24450",23,22,26,11,15,16
"PA14_RS24455",1,0,1,0,0,0
"PA14_RS24460",32,16,19,17,11,15
"PA14_RS24465",1,4,6,6,6,3
"PA14_RS24470",2,6,4,9,6,9
"PA14_RS24475",4,2,0,2,0,4
"PA14_RS24480",12,13,9,1,2,1
"PA14_RS24485",50,42,44,22,23,24
"PA14_RS24490",327,181,278,47,50,52
"PA14_RS24495",59,31,41,21,19,24
"PA14_RS24500",230,162,205,150,148,153
"PA14_RS30960",4,1,2,98,119,165
"PA14_RS24505",36,36,39,133,148,199
"PA14_RS24510",238,182,207,179,182,237
"PA14_RS31480",1,2,0,4,4,1
"PA14_RS24515",10,10,19,13,11,7
"PA14_RS24520",9,13,10,18,8,25
"PA14_RS30970",1,2,2,2,3,2
"PA14_RS30975",1,3,3,1,2,3
"PA14_RS24525",10,3,17,3,6,9
"PA14_RS24530",9,4,18,4,14,8
"PA14_RS24535",441,280,286,386,547,503
"PA14_RS24540",542,428,422,61,80,64
"PA14_RS24560",1940,1513,833,3409,3183,7005
"PA14_RS24565",875,983,1181,799,996,852
"PA14_RS24570",1994,1653,2567,1722,1988,1904
"PA14_RS24575",2405,2036,2362,1939,2503,2382
"PA14_RS24580",191,128,134,127,176,186
"PA14_RS24585",483,486,557,422,499,495
"PA14_RS24590",788,704,575,184,163,194
"PA14_RS24595",376,282,409,436,505,382
"PA14_RS24600",6,11,18,18,12,14
"PA14_RS24605",8,14,19,9,12,32
"PA14_RS24610",2,0,2,1,0,1
"PA14_RS24615",12,19,15,13,21,20
"PA14_RS24620",1,2,6,1,3,2
"PA14_RS24625",24,19,33,26,27,25
"PA14_RS24630",0,1,5,0,0,0
"PA14_RS24635",4,5,4,4,5,1
"PA14_RS24640",2235,2259,2290,1194,1742,1896
"PA14_RS24645",1477,1532,1196,823,1120,1207
"PA14_RS24650",1249,1352,1055,686,877,1001
"PA14_RS24655",8403,8984,8082,5951,7314,6880
"PA14_RS24660",2273,1792,2750,1981,2302,2202
"PA14_RS24665",545,473,554,521,650,574
"PA14_RS24670",10681,8090,15690,9124,11781,7981
"PA14_RS24675",581,718,624,458,517,596
"PA14_RS24680",1755,2116,1677,1417,1775,1828
"PA14_RS24685",1839,1797,2151,1696,1922,1950
"PA14_RS24690",3314,3298,4627,2514,2689,2298
"PA14_RS24695",3566,3609,5297,2648,2785,2540
"PA14_RS24700",1673,1307,1568,1028,1473,1248
"PA14_RS24705",29,29,34,20,15,18
"PA14_RS24710",2966,2069,865,955,1207,3408
"PA14_RS24715",2192,1362,1592,1493,1745,1946
"PA14_RS24720",595,288,515,294,271,318
"PA14_RS24725",350,268,561,396,450,351
"PA14_RS24730",259,195,201,146,151,194
"PA14_RS24735",2766,2295,2097,2472,2848,3407
"PA14_RS24740",764,724,320,414,544,1604
"PA14_RS24745",4473,3200,2524,4805,6784,7855
"PA14_RS24750",1154,1134,823,760,973,1151
"PA14_RS24755",614,499,519,349,471,471
"PA14_RS24760",428,331,358,249,355,386
"PA14_RS24770",99,69,82,200,211,228
"PA14_RS24775",79,72,93,246,276,286
"PA14_RS24780",89,80,71,148,145,167
"PA14_RS24785",96,83,85,184,184,172
"PA14_RS24790",23,23,23,27,38,42
"PA14_RS24795",1202,542,1262,3512,4436,5747
"PA14_RS24800",2471,2416,2170,1217,1586,1713
"PA14_RS24805",196,189,170,113,107,127
"PA14_RS24810",432,396,273,77,84,110
"PA14_RS24815",508,394,259,103,130,131
"PA14_RS24820",329,352,219,99,94,109
"PA14_RS24825",219,252,177,57,102,88
"PA14_RS24830",332,320,302,127,166,181
"PA14_RS24835",3061,2502,2803,2918,3412,3703
"PA14_RS24840",27,21,10,17,30,28
"PA14_RS24845",65,41,36,36,36,33
"PA14_RS24850",114,89,115,88,96,92
"PA14_RS24855",259,180,205,157,177,193
"PA14_RS24860",57,41,47,34,59,49
"PA14_RS24865",278,334,399,226,314,313
"PA14_RS24870",4943,4926,4528,3025,3956,3816
"PA14_RS24875",3196,3243,4009,2843,3648,2976
"PA14_RS24880",248,211,322,366,447,397
"PA14_RS24885",498,406,688,808,987,948
"PA14_RS24890",369,229,362,491,567,625
"PA14_RS24895",3642,2458,4254,4718,5467,5040
"PA14_RS24900",11264,4939,6049,5489,4809,6084
"PA14_RS24905",1219,762,965,787,898,1039
"PA14_RS24910",1500,1133,1456,1132,1360,1362
"PA14_RS24915",399,341,266,176,213,427
"PA14_RS24920",1255,677,798,1139,1154,2168
"PA14_RS24925",40,28,30,47,63,70
"PA14_RS24930",221,162,204,150,180,241
"PA14_RS31485",228,162,261,162,162,153
"PA14_RS24940",1719,1034,1463,876,821,1085
"PA14_RS24945",275,326,407,301,318,337
"PA14_RS24950",70,48,64,35,54,78
"PA14_RS24955",671,584,684,725,870,821
"PA14_RS24960",455,445,488,619,742,736
"PA14_RS24965",776,714,1182,1496,1678,1623
"PA14_RS24970",395,275,734,1502,1434,1265
"PA14_RS24975",137,46,147,462,456,357
"PA14_RS24980",905,574,782,2398,2654,2365
"PA14_RS24985",148,176,180,5064,5911,5614
"PA14_RS24990",47,38,32,25068,27243,30011
"PA14_RS24995",844,922,581,405,390,502
"PA14_RS25000",3054,2915,2409,1105,1305,1478
"PA14_RS25005",303,304,318,339,420,426
"PA14_RS25010",835,729,1074,622,749,683
"PA14_RS25015",635,808,700,576,690,568
"PA14_RS25020",299,258,231,138,226,174
"PA14_RS25025",327,265,322,841,887,840
"PA14_RS25030",892,837,1028,1094,1368,1334
"PA14_RS25035",1179,1079,1177,578,706,531
"PA14_RS25040",2553,2204,3469,2535,2791,3043
"PA14_RS25045",862,611,987,834,790,865
"PA14_RS25050",116,101,200,125,152,173
"PA14_RS25055",157,78,167,111,138,150
"PA14_RS25060",96,71,93,64,83,94
"PA14_RS25065",1068,826,1138,1036,1304,1225
"PA14_RS25070",645,444,645,1199,1401,1385
"PA14_RS31725",4774,2126,3402,952,736,739
"PA14_RS25080",1316,1008,1677,1027,1134,1018
"PA14_RS25085",1606,1342,2049,3680,3423,2451
"PA14_RS25090",399,227,359,292,277,347
"PA14_RS25095",413,287,364,500,679,567
"PA14_RS25100",386,340,293,325,446,392
"PA14_RS25105",136,144,232,130,131,97
"PA14_RS25110",401,321,377,250,265,290
"PA14_RS25115",537,444,552,391,450,417
"PA14_RS25120",1334,1139,1130,586,710,626
"PA14_RS25125",718,404,618,30,19,29
"PA14_RS25130",85,95,104,30,50,44
"PA14_RS25135",66,65,54,28,32,35
"PA14_RS25140",247,230,197,39,45,45
"PA14_RS25145",283,238,215,158,170,209
"PA14_RS25150",198,157,155,279,326,409
"PA14_RS25155",97,118,101,62,76,87
"PA14_RS25160",891,845,1058,663,788,647
"PA14_RS25165",826,568,793,457,471,513
"PA14_RS25170",843,562,833,1074,992,1299
"PA14_RS25175",760,632,715,333,309,377
"PA14_RS25180",305,324,351,198,188,166
"PA14_RS25185",829,715,711,536,503,501
"PA14_RS25190",2003,1220,1879,6958,8798,8568
"PA14_RS25195",793,797,659,528,717,795
"PA14_RS25200",1070,978,936,925,1182,999
"PA14_RS25205",1175,1284,912,1012,1423,1108
"PA14_RS25210",1319,1375,1427,1233,1498,1259
"PA14_RS25215",1976,1638,2747,1886,2340,2156
"PA14_RS25220",2223,2140,1838,2637,3064,3308
"PA14_RS25225",588,590,545,643,855,806
"PA14_RS25230",7024,4239,6982,4059,5611,4648
"PA14_RS25240",7435,6306,12092,7442,9348,6850
"PA14_RS25245",4845,6539,5765,3456,4143,3277
"PA14_RS25250",657,816,763,623,653,471
"PA14_RS25255",1474,1808,1388,1341,1503,1293
"PA14_RS25265",72,52,84,69,74,81
"PA14_RS30995",95,108,119,64,87,114
"PA14_RS31620",17,5,9,13,29,22
"PA14_RS25270",404,367,392,304,391,465
"PA14_RS25275",1144,837,1163,768,940,826
"PA14_RS25280",1091,550,784,127,159,133
"PA14_RS25285",324,298,427,245,302,277
"PA14_RS25290",1155,989,1407,1025,1082,990
"PA14_RS25295",102,65,54,64,60,72
"PA14_RS25300",281,218,132,113,97,144
"PA14_RS25305",301,270,209,122,107,124
"PA14_RS25310",655,353,829,57,66,67
"PA14_RS25315",776,692,1124,658,845,672
"PA14_RS25320",200,275,261,161,171,177
"PA14_RS25325",1632,2402,1479,930,1176,1198
"PA14_RS25330",408,258,487,313,346,526
"PA14_RS25335",204,148,209,150,232,362
"PA14_RS25340",953,768,720,859,1023,1080
"PA14_RS25345",320,255,364,340,390,409
"PA14_RS25350",552,337,476,477,511,551
"PA14_RS25380",119,67,77,94,76,112
"PA14_RS25385",179,144,179,180,159,205
"PA14_RS25390",1673,1224,1357,1215,1520,1450
"PA14_RS25395",12333,13871,10750,5397,9049,10715
"PA14_RS25400",2572,2513,2565,1966,2322,1997
"PA14_RS25405",13513,12416,10344,8974,11783,10610
"PA14_RS31490",25,22,15,34,34,49
"PA14_RS25410",174,176,184,249,293,370
"PA14_RS25415",611,630,613,568,694,773
"PA14_RS25420",1229,1241,1209,1197,1398,1338
"PA14_RS25425",2363,1947,2575,2129,2588,2206
"PA14_RS25430",2085,1704,1833,1317,1430,1427
"PA14_RS25435",379,247,298,262,233,312
"PA14_RS25440",726,334,433,163,131,225
"PA14_RS25445",321,231,284,157,190,228
"PA14_RS25450",311,309,294,400,450,485
"PA14_RS25455",258,158,203,185,192,196
"PA14_RS25460",220,135,193,127,167,166
"PA14_RS25465",172,132,168,148,194,231
"PA14_RS25470",103,73,86,63,70,94
"PA14_RS25475",310,195,344,121,165,192
"PA14_RS25480",195,140,205,158,174,164
"PA14_RS25485",345,255,463,228,214,224
"PA14_RS25490",345,259,546,247,239,240
"PA14_RS25495",188,171,210,218,294,327
"PA14_RS25500",509,495,391,610,538,603
"PA14_RS25505",427,376,449,316,301,370
"PA14_RS25510",1082,909,1071,511,490,604
"PA14_RS25515",521,385,451,383,427,481
"PA14_RS25520",506,485,670,338,468,387
"PA14_RS25525",730,829,704,600,622,547
"PA14_RS25530",435,433,383,383,482,415
"PA14_RS25535",1167,805,992,802,866,1036
"PA14_RS25540",1967,1691,2150,1667,2134,1932
"PA14_RS25545",261,382,336,317,361,277
"PA14_RS25550",70,83,78,58,81,97
"PA14_RS25555",1901,1466,1807,911,1110,962
"PA14_RS25560",2581,2356,2119,2908,3392,4208
"PA14_RS25565",2591,2003,2984,2615,2948,2927
"PA14_RS25570",540,463,498,558,695,696
"PA14_RS25575",1233,913,1111,808,1015,918
"PA14_RS25580",526,564,596,563,632,613
"PA14_RS25585",335,277,398,625,781,574
"PA14_RS25590",2128,1934,1901,1819,2197,2248
"PA14_RS25595",1599,1523,1292,895,1003,1004
"PA14_RS25600",791,588,603,721,900,994
"PA14_RS25605",4792,4203,4885,3058,3138,3276
"PA14_RS25610",701,451,609,455,447,513
"PA14_RS25615",883,676,949,459,472,543
"PA14_RS25620",16092,13704,18684,793,665,1100
"PA14_RS25625",25869,19476,26539,941,729,1333
"PA14_RS25630",7873,11285,8778,5593,6412,6344
"PA14_RS25635",12205,11128,13054,5849,7994,7203
"PA14_RS25640",6359,4675,6816,3067,3967,3689
"PA14_RS25645",629,586,629,271,413,392
"PA14_RS25650",15199,18296,16430,9025,10731,9916
"PA14_RS25655",5053,6030,7095,4258,4431,3740
"PA14_RS25660",2416,1276,3148,1369,1725,1462
"PA14_RS25675",7746,5950,9693,6039,6754,6371
"PA14_RS25680",4811,3939,6162,3036,4169,3252
"PA14_RS25685",2100,1885,2827,2233,2565,2333
"PA14_RS25690",1313,1280,1340,1163,1151,1161
"PA14_RS25695",10006,8646,9969,10034,10627,11258
"PA14_RS25700",1235,894,1276,1218,1219,1446
"PA14_RS25705",1883,1405,2534,1846,2001,1924
"PA14_RS25710",982,902,1103,705,917,980
"PA14_RS25715",1347,1173,1494,856,1312,1371
"PA14_RS25720",5593,5472,5030,4033,4875,4951
"PA14_RS25725",602,671,728,532,543,591
"PA14_RS25730",2674,2081,2672,1985,2486,2227
"PA14_RS25735",366,325,304,1003,789,1046
"PA14_RS25740",387,349,382,1369,992,1322
"PA14_RS25745",909,757,791,5563,4106,6552
"PA14_RS25750",160,110,145,883,613,978
"PA14_RS25755",1088,1090,1150,695,822,864
"PA14_RS25760",3996,2791,4366,3149,3695,3573
"PA14_RS25765",3984,2803,3687,2863,3784,3785
"PA14_RS25770",146,123,243,159,187,160
"PA14_RS25775",856,557,862,747,1005,947
"PA14_RS25780",2101,1463,2405,1562,2188,1682
"PA14_RS25785",1225,913,1585,965,1211,1057
"PA14_RS25790",725,890,3073,533,464,519
"PA14_RS25795",231,645,1543,498,418,337
"PA14_RS25800",319,1857,3311,650,558,514
"PA14_RS25805",1616,1410,1516,236,251,215
"PA14_RS25810",1254,1478,1305,193,201,196
"PA14_RS25815",663,848,597,142,174,202
"PA14_RS25820",597,710,613,133,163,168
"PA14_RS25825",683,757,548,145,171,233
"PA14_RS25830",2612,2346,2750,348,487,439
"PA14_RS25835",1017,979,1138,177,224,183
"PA14_RS25840",473,406,458,109,141,143
"PA14_RS25845",883,745,962,606,660,659
"PA14_RS25850",1701,1203,1530,480,420,486
"PA14_RS25855",1021,854,1173,172,191,144
"PA14_RS25860",157,101,159,68,85,85
"PA14_RS25865",153,76,133,101,133,119
"PA14_RS25870",640,463,757,301,284,348
"PA14_RS25875",1076,978,1245,578,610,621
"PA14_RS25880",1947,1609,1223,1246,1460,1597
"PA14_RS25885",194,191,200,98,103,145
"PA14_RS25890",202,119,224,141,218,197
"PA14_RS25895",197,192,262,235,252,239
"PA14_RS25900",254,248,256,320,338,329
"PA14_RS25905",146,157,140,270,298,305
"PA14_RS25910",774,576,552,664,708,936
"PA14_RS25915",163,114,141,121,153,216
"PA14_RS25920",125,109,81,106,89,143
"PA14_RS25925",321,246,274,190,246,300
"PA14_RS25930",396,337,319,172,246,252
"PA14_RS25935",175,231,165,106,122,135
"PA14_RS25940",178,242,209,116,133,108
"PA14_RS25945",402,353,423,263,303,247
"PA14_RS25950",2,3,0,8,10,20
"PA14_RS25955",2,3,0,0,2,1
"PA14_RS25960",1,4,1,0,3,1
"PA14_RS25970",636,544,489,251,327,367
"PA14_RS25975",172,109,155,312,438,443
"PA14_RS25980",55,67,70,64,63,103
"PA14_RS25985",204,157,165,160,164,193
"PA14_RS25990",512,471,428,643,816,829
"PA14_RS25995",530,458,460,766,816,888
"PA14_RS26000",251,171,375,355,523,406
"PA14_RS26005",347,159,549,420,548,487
"PA14_RS26010",607,281,945,956,1177,971
"PA14_RS26015",4512,2346,4466,5169,6043,6219
"PA14_RS26025",266,252,147,48,47,51
"PA14_RS26030",132,89,95,63,114,106
"PA14_RS26035",220,156,264,237,246,305
"PA14_RS26040",410,347,313,375,482,496
"PA14_RS26045",73,49,94,67,67,43
"PA14_RS26050",83,78,84,70,86,88
"PA14_RS26055",9,17,23,20,29,17
"PA14_RS26060",22,20,18,25,23,33
"PA14_RS26065",185,217,250,170,191,175
"PA14_RS26070",50,49,55,36,51,51
"PA14_RS26075",164,98,113,131,154,159
"PA14_RS26080",1,1,2,1,9,10
"PA14_RS26085",17,22,26,24,21,25
"PA14_RS26090",180,151,157,129,143,157
"PA14_RS26095",573,294,418,360,468,459
"PA14_RS26100",387,262,388,318,379,347
"PA14_RS26105",187,130,201,139,145,126
"PA14_RS26110",596,347,597,418,381,375
"PA14_RS26115",36,22,34,53,72,72
"PA14_RS26120",230,173,187,122,133,134
"PA14_RS26125",114,94,96,78,85,86
"PA14_RS26130",417,321,470,317,367,399
"PA14_RS26135",138,108,106,100,105,122
"PA14_RS26140",89,54,74,62,80,87
"PA14_RS26145",39,23,47,33,37,42
"PA14_RS26150",76,88,88,67,104,88
"PA14_RS26155",104,101,109,145,181,164
"PA14_RS26160",1124,962,1188,1392,1323,1125
"PA14_RS26165",352,331,452,602,675,527
"PA14_RS26170",551,520,619,934,1064,1194
"PA14_RS26175",2126,1726,2388,2914,3093,3682
"PA14_RS26180",5142,3395,3816,2411,2975,2998
"PA14_RS31805",84,45,66,65,79,80
"PA14_RS26190",797,655,951,882,1177,1150
"PA14_RS26195",2154,1118,1573,2073,2487,2299
"PA14_RS26200",1528,1279,1589,3242,3320,2727
"PA14_RS26205",7526,5792,5541,11258,13628,11783
"PA14_RS26210",130,184,159,107,119,97
"PA14_RS26215",1241,2909,3814,2165,2707,2395
"PA14_RS26220",1381,1430,1507,1286,1591,1455
"PA14_RS26225",3272,2976,4532,2814,3566,2642
"PA14_RS26230",341,470,651,434,505,325
"PA14_RS26235",1845,2778,1633,1646,1641,1449
"PA14_RS26240",1346,1843,1092,910,1109,1234
"PA14_RS26245",2307,2455,1918,1073,1415,1514
"PA14_RS26250",158,123,175,152,176,143
"PA14_RS26255",306,204,242,181,143,173
"PA14_RS26260",35,24,34,57,57,39
"PA14_RS26265",22,24,36,22,41,39
"PA14_RS26270",36,32,32,74,83,69
"PA14_RS26275",48,32,45,32,46,62
"PA14_RS26280",259,189,162,197,258,271
"PA14_RS26285",62,75,64,106,112,150
"PA14_RS26290",34,37,29,30,64,64
"PA14_RS26295",110,70,74,92,122,125
"PA14_RS26300",47,70,56,77,102,112
"PA14_RS26305",472,389,391,438,636,678
"PA14_RS26310",496,412,420,358,387,519
"PA14_RS26315",255,159,159,221,187,233
"PA14_RS26320",157,129,189,607,667,628
"PA14_RS26325",689,487,697,170,150,145
"PA14_RS26330",1136,901,1026,1648,1741,1669
"PA14_RS26335",709,487,722,578,590,542
"PA14_RS31810",783,495,686,595,585,740
"PA14_RS31815",292,172,289,178,169,168
"PA14_RS26345",449,290,474,368,384,406
"PA14_RS26350",2884,2405,5011,1212,992,1478
"PA14_RS26355",943,746,1670,330,177,286
"PA14_RS26360",570,714,730,295,337,333
"PA14_RS26365",1472,1262,1875,683,735,846
"PA14_RS26370",1766,1516,2957,1036,861,1098
"PA14_RS26375",46,41,69,14305,16611,20702
"PA14_RS26380",128,129,101,486,646,633
"PA14_RS26385",55,69,62,14,27,23
"PA14_RS26390",228,252,182,29,44,54
"PA14_RS26395",33,33,56,26,47,38
"PA14_RS26400",273,263,318,227,317,237
"PA14_RS26405",611,485,810,568,706,502
"PA14_RS26410",1394,1406,1096,745,722,1154
"PA14_RS26415",2523,3887,4257,2488,3025,3564
"PA14_RS26420",864,626,722,535,623,730
"PA14_RS26425",56,31,32,70,59,95
"PA14_RS26430",25,28,26,30,43,69
"PA14_RS26435",55,36,29,54,57,77
"PA14_RS26440",34,28,32,58,70,83
"PA14_RS26445",27,25,30,56,73,66
"PA14_RS26450",34,15,13,11,16,10
"PA14_RS26455",234,168,244,195,216,224
"PA14_RS26460",86,121,189,96,160,108
"PA14_RS26465",149,107,89,174,179,202
"PA14_RS26470",72,51,72,78,76,86
"PA14_RS26475",70,50,55,69,62,82
"PA14_RS26480",144,89,108,81,143,154
"PA14_RS26485",60,53,65,55,71,81
"PA14_RS26490",51,41,48,46,53,50
"PA14_RS26495",260,148,236,130,197,190
"PA14_RS26500",1165,820,1022,556,627,651
"PA14_RS26505",1383,953,1199,307,414,413
"PA14_RS26510",249,120,122,59,66,80
"PA14_RS26515",298,92,145,97,91,98
"PA14_RS26520",303,99,119,73,74,92
"PA14_RS26525",197,93,67,45,51,46
"PA14_RS26530",218,134,109,87,86,105
"PA14_RS26535",2375,1078,1304,859,819,1065
"PA14_RS26540",221,135,141,188,218,269
"PA14_RS26545",1762,1259,1386,896,749,1128
"PA14_RS26550",1705,1609,1655,458,487,826
"PA14_RS26555",1318,1082,1178,239,297,419
"PA14_RS26560",100,86,111,77,94,108
"PA14_RS26565",367,310,379,214,248,351
"PA14_RS26570",450,370,435,805,709,972
"PA14_RS26575",444,257,382,505,571,599
"PA14_RS26580",17418,6962,12205,13779,18630,25009
"PA14_RS26585",507,503,565,337,394,401
"PA14_RS26590",914,699,819,470,587,595
"PA14_RS26595",558,315,401,229,242,253
"PA14_RS26600",479,329,399,340,354,379
"PA14_RS26605",1726,2661,3456,2125,2838,2328
"PA14_RS26610",1430,1884,3045,1105,1168,977
"PA14_RS26615",3118,1714,2067,1423,1503,1756
"PA14_RS26620",3492,1864,2280,748,940,832
"PA14_RS26625",1421,1383,1355,1026,1249,1328
"PA14_RS26630",7204,10549,5860,3621,5027,5272
"PA14_RS26635",9033,13338,9266,4969,6327,6702
"PA14_RS26640",4023,5708,4298,2529,3133,3130
"PA14_RS26645",9689,12028,10350,5673,7109,6760
"PA14_RS26650",1915,1681,2328,1973,2163,2390
"PA14_RS26655",7459,6403,8686,7196,6898,7702
"PA14_RS26670",6102,6382,5808,5274,5932,5245
"PA14_RS26675",3918,3620,5452,3235,3419,3186
"PA14_RS26680",1242,913,1439,896,1126,1020
"PA14_RS26685",5484,3754,4965,4820,5090,4709
"PA14_RS26690",5665,4370,5995,5652,6093,5856
"PA14_RS26695",6518,4968,7251,7204,7824,8277
"PA14_RS26700",3727,2536,3893,3342,3450,3818
"PA14_RS26705",4790,3348,4720,3919,4559,4314
"PA14_RS26710",4863,3691,3891,2888,3549,3467
"PA14_RS26715",3420,2508,2632,1894,2310,2531
"PA14_RS26720",394,332,353,305,316,373
"PA14_RS26725",1462,1290,1939,1489,1732,1607
"PA14_RS26730",1065,832,1050,835,990,966
"PA14_RS26735",1033,777,959,688,896,1009
"PA14_RS26740",2154,1506,2301,1584,1932,1735
"PA14_RS26745",2217,1701,2461,1456,1586,1591
"PA14_RS26750",1780,1253,1989,1114,1315,1357
"PA14_RS26755",1288,1196,1153,679,792,936
"PA14_RS26760",761,538,742,579,685,647
"PA14_RS26765",636,644,686,574,626,569
"PA14_RS26770",1712,1279,1361,1179,1258,1473
"PA14_RS26775",3046,2625,2822,2576,2967,2719
"PA14_RS26780",2191,1747,2480,1851,2223,2192
"PA14_RS26785",2547,2229,2396,1981,2220,2469
"PA14_RS26790",229,216,236,139,202,206
