"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS01970",285,236,211,149,184,197
"PA14_RS01975",624,631,501,340,355,406
"PA14_RS01980",732,748,790,501,531,594
"PA14_RS01985",3690,2859,4070,2958,3617,3341
"PA14_RS01990",1188,1096,1258,871,1079,1025
"PA14_RS01995",2239,2092,2249,1650,2004,1983
"PA14_RS02000",9592,6752,11825,6867,7796,7819
"PA14_RS02005",846,687,956,595,796,658
"PA14_RS02010",627,464,687,511,610,545
"PA14_RS02015",528,335,447,380,529,533
"PA14_RS02020",550,413,615,501,709,522
"PA14_RS02025",1025,954,1277,1137,1442,1128
"PA14_RS02030",721,703,780,712,857,635
"PA14_RS02035",436,321,406,338,376,343
"PA14_RS02040",224,186,220,134,179,176
"PA14_RS02045",304,209,290,190,242,227
"PA14_RS02050",465,406,570,409,485,412
"PA14_RS02055",1253,991,797,977,1136,1357
"PA14_RS02060",627,501,492,509,580,654
"PA14_RS02065",611,527,508,602,764,641
"PA14_RS02070",1101,1044,1234,1173,1499,1270
"PA14_RS02075",883,874,905,536,734,733
"PA14_RS02080",184,129,113,103,148,135
"PA14_RS02085",331,308,257,271,302,343
"PA14_RS02090",634,636,672,609,686,775
"PA14_RS02095",663,530,627,671,817,776
"PA14_RS02100",2500,1719,2292,1630,1867,1955
"PA14_RS02105",1289,845,1144,768,883,1008
"PA14_RS02110",524,332,430,323,346,419
"PA14_RS02115",108,80,85,131,148,193
"PA14_RS02120",1222,934,958,462,537,526
"PA14_RS02125",717,622,636,339,424,500
"PA14_RS02130",1853,1222,960,1433,1865,2269
"PA14_RS02135",859,745,600,702,919,1249
"PA14_RS02140",205,193,138,176,191,301
"PA14_RS02145",350,286,284,304,337,406
"PA14_RS02150",582,510,492,608,655,722
"PA14_RS02155",546,422,388,388,441,439
"PA14_RS02160",1265,1003,1066,1104,1482,1717
"PA14_RS02165",1704,1406,1080,1159,1562,2392
"PA14_RS02170",904,687,578,668,860,1574
"PA14_RS02175",944,841,585,709,943,1701
"PA14_RS02180",5845,2702,2479,4798,5187,6785
"PA14_RS02185",1192,433,912,1602,1311,1358
"PA14_RS02190",8238,4549,10211,8659,11525,10924
"PA14_RS02195",1007,612,1503,837,965,1164
"PA14_RS02200",457,306,642,339,401,444
"PA14_RS02205",227,159,285,187,218,225
"PA14_RS02210",139,136,115,818,419,187
"PA14_RS02215",451,431,376,713,482,404
"PA14_RS02220",388,260,397,422,505,408
"PA14_RS02225",443,323,376,987,1094,956
"PA14_RS02230",1361,1213,1268,1108,1307,1194
"PA14_RS02235",624,472,694,448,484,539
"PA14_RS02240",2525,1674,1965,1445,1705,1819
"PA14_RS02245",1201,647,920,689,674,783
"PA14_RS02250",1550,1266,1635,1571,1604,1709
"PA14_RS02255",4267,3283,4047,3252,3259,3176
"PA14_RS02260",2506,2027,2209,1458,1917,1961
"PA14_RS02265",3685,3580,3690,3864,3647,3602
"PA14_RS02270",4327,3423,3500,2516,2873,3146
"PA14_RS02275",656,663,587,582,768,781
"PA14_RS02280",481,657,475,464,554,546
"PA14_RS02285",3938,3695,3931,2913,3649,3654
"PA14_RS02290",85,55,76,51,72,68
"PA14_RS02295",120,82,114,99,113,156
"PA14_RS02300",58,55,55,35,68,62
"PA14_RS02305",1313,1002,1108,526,613,666
"PA14_RS02310",799,718,695,446,510,579
"PA14_RS02315",264,229,261,166,174,186
"PA14_RS02320",40,38,31,46,32,39
"PA14_RS02325",95,58,91,73,94,103
"PA14_RS02330",116,67,132,111,126,104
"PA14_RS02340",91,60,62,59,76,71
"PA14_RS02345",214,104,179,202,413,472
"PA14_RS02350",1890,1088,1319,256,1449,1870
